timestamp,model,perspective,test_type,gt_name,size_mb,fps,ram_max_gb,vram_used_mib,vram_free_mib,gpu_util_pct
2026-05-24T11:14:34,matrix-game-3,1st_data,mirror_test,data-72,0.06,24.00,0.04,711,31477,2
2026-05-24T11:34:52,matrix-game-3,1st_data,mirror_test,data-73,0.05,24.00,0.03,766,31422,4
2026-05-24T11:55:50,matrix-game-3,1st_data,mirror_test,data-74,0.06,24.00,0.04,860,31328,4
2026-05-25T21:00:24,sana-wm,1st_data,action_space_test,data-11-1.4x-250,2.38,24.00,0.03,1836,30352,2
2026-05-25T21:02:18,sana-wm,1st_data,action_space_test,data-12-1.2x-225,4.61,24.00,0.04,28228,3960,76
2026-05-25T21:50:41,sana-wm,1st_data,action_space_test,data-13-1.4x-250,3.32,24.00,0.03,702,31486,2
2026-05-25T21:51:57,sana-wm,1st_data,action_space_test,data-14-0.8x-175,6.73,24.00,0.04,777,31411,1
2026-05-26T07:19:57,sana-wm,1st_data,action_space_test,data-15-1.4x-250,3.28,24.00,0.03,1138,31050,1
2026-05-26T07:21:42,sana-wm,1st_data,action_space_test,data-16-0.6x-150,1.65,24.00,0.04,1146,31042,0
2026-05-26T07:22:56,sana-wm,1st_data,action_space_test,data-17-1.2x-225,3.91,24.00,0.04,1594,30594,0
2026-05-26T07:24:08,sana-wm,1st_data,action_space_test,data-18-1.2x-225,4.45,24.00,0.04,1115,31073,3
2026-05-26T07:25:21,sana-wm,1st_data,action_space_test,data-19-1.0x-200,4.73,24.00,0.04,1115,31073,2
2026-05-26T07:26:32,sana-wm,1st_data,action_space_test,data-2-0.6x-150,5.64,24.00,0.04,1131,31057,2
2026-05-26T07:27:47,sana-wm,1st_data,action_space_test,data-20-0.8x-175,3.52,24.00,0.04,1276,30912,0
2026-05-26T07:29:02,sana-wm,1st_data,action_space_test,data-21-1.0x-200,2.49,24.00,0.04,1301,30887,0
2026-05-26T07:30:17,sana-wm,1st_data,action_space_test,data-22-0.8x-175,2.31,24.00,0.04,1258,30930,0
2026-05-26T07:31:30,sana-wm,1st_data,action_space_test,data-23-0.6x-150,3.26,24.00,0.04,1299,30889,0
2026-05-26T07:32:43,sana-wm,1st_data,action_space_test,data-24-0.6x-150,3.63,24.00,0.04,1381,30807,0
2026-05-26T07:33:56,sana-wm,1st_data,action_space_test,data-3-1.0x-200,3.16,24.00,0.04,1422,30766,0
2026-05-26T07:35:09,sana-wm,1st_data,action_space_test,data-4-0.6x-150,2.08,24.00,0.04,1407,30781,0
2026-05-26T07:36:21,sana-wm,1st_data,action_space_test,data-5-0.8x-175,3.64,24.00,0.04,1407,30781,0
2026-05-26T07:37:34,sana-wm,1st_data,action_space_test,data-6-1.2x-225,2.81,24.00,0.04,1461,30727,0
2026-05-26T07:38:47,sana-wm,1st_data,action_space_test,data-7-1.4x-250,2.82,24.00,0.04,1447,30741,3
2026-05-26T07:40:01,sana-wm,1st_data,action_space_test,data-8-1.2x-225,2.07,24.00,0.04,1612,30576,3
2026-05-26T07:41:16,sana-wm,1st_data,action_space_test,data-9-1.4x-250,3.97,24.00,0.04,1735,30453,1
2026-05-26T07:42:30,sana-wm,1st_data,mem_test,data-25,2.85,24.00,0.04,1722,30466,2
2026-05-26T07:43:43,sana-wm,1st_data,mem_test,data-26,3.21,24.00,0.04,1722,30466,3
2026-05-26T07:44:57,sana-wm,1st_data,mem_test,data-27,2.39,24.00,0.04,1722,30466,4
2026-05-26T07:46:10,sana-wm,1st_data,mem_test,data-28,2.30,24.00,0.04,1798,30390,0
